CMDLINE /opt/conda/bin/python mainlp.py
MEM 1801.804688 1725060057.0395
MEM 2323.046875 1725060057.1399
MEM 2725.046875 1725060057.2403
MEM 3123.046875 1725060057.3408
MEM 3449.046875 1725060057.4411
MEM 3663.046875 1725060057.5416
MEM 3775.046875 1725060057.6420
MEM 2425.425781 1725060057.7425
MEM 2967.425781 1725060057.8430
MEM 3535.425781 1725060057.9435
MEM 3795.425781 1725060058.0438
MEM 1953.371094 1725060058.1442
MEM 543.804688 1725060058.2447
MEM 1099.804688 1725060058.3451
MEM 1787.804688 1725060058.4456
MEM 2315.046875 1725060058.5461
MEM 2777.046875 1725060058.6466
MEM 3211.046875 1725060058.7470
MEM 3605.046875 1725060058.8477
MEM 2093.425781 1725060058.9481
MEM 2753.425781 1725060059.0486
MEM 3433.425781 1725060059.1490
MEM 3795.425781 1725060059.2494
MEM 1953.371094 1725060059.3498
MEM 109.750000 1725060059.4502
MEM 617.804688 1725060059.5506
MEM 1307.804688 1725060059.6510
MEM 2015.046875 1725060059.7514
MEM 2429.046875 1725060059.8527
MEM 2827.046875 1725060059.9531
MEM 3191.046875 1725060060.0536
MEM 3579.046875 1725060060.1540
MEM 2227.425781 1725060060.2545
MEM 2897.425781 1725060060.3550
MEM 3473.425781 1725060060.4560
MEM 3795.425781 1725060060.5565
MEM 1953.371094 1725060060.6569
MEM 407.804688 1725060060.7573
MEM 977.804688 1725060060.8578
MEM 1609.804688 1725060060.9582
MEM 2067.046875 1725060061.0586
MEM 2517.046875 1725060061.1590
MEM 2953.046875 1725060061.2595
MEM 3347.046875 1725060061.3600
MEM 3497.046875 1725060061.4603
MEM 3629.046875 1725060061.5606
MEM 3737.046875 1725060061.6610
MEM 2217.425781 1725060061.7614
MEM 2843.425781 1725060061.8618
MEM 3459.425781 1725060061.9622
MEM 3795.425781 1725060062.0626
MEM 1953.371094 1725060062.1629
MEM 227.808594 1725060062.2634
MEM 775.808594 1725060062.3638
MEM 1337.808594 1725060062.4642
MEM 1993.050781 1725060062.5645
MEM 2465.050781 1725060062.6650
MEM 2865.050781 1725060062.7656
MEM 3145.050781 1725060062.8660
MEM 3537.050781 1725060062.9665
MEM 2163.429688 1725060063.0671
MEM 2779.429688 1725060063.1678
MEM 3179.429688 1725060063.2682
MEM 3585.429688 1725060063.3686
MEM 3789.429688 1725060063.4690
MEM 1953.375000 1725060063.5694
MEM 195.753906 1725060063.6698
MEM 747.808594 1725060063.7702
MEM 1299.808594 1725060063.8706
MEM 1951.914062 1725060063.9711
MEM 2411.050781 1725060064.0715
MEM 2829.050781 1725060064.1720
MEM 3135.050781 1725060064.2725
MEM 3475.050781 1725060064.3729
MEM 1977.375000 1725060064.4735
MEM 2599.429688 1725060064.5740
MEM 3229.429688 1725060064.6746
MEM 3795.429688 1725060064.7751
MEM 1953.375000 1725060064.8754
MEM 109.753906 1725060064.9759
MEM 365.808594 1725060065.0764
MEM 907.808594 1725060065.1769
MEM 1589.808594 1725060065.2774
MEM 2031.050781 1725060065.3779
MEM 2411.050781 1725060065.4785
MEM 2751.050781 1725060065.5796
MEM 3079.050781 1725060065.6802
MEM 3437.050781 1725060065.7805
MEM 3627.050781 1725060065.8809
MEM 2021.375000 1725060065.9814
MEM 2691.429688 1725060066.0818
MEM 3361.429688 1725060066.1822
MEM 3795.429688 1725060066.2826
MEM 1953.375000 1725060066.3830
MEM 379.808594 1725060066.4835
MEM 937.808594 1725060066.5839
MEM 1631.808594 1725060066.6844
MEM 2207.050781 1725060066.7848
MEM 2683.050781 1725060066.8852
MEM 3129.050781 1725060066.9858
MEM 3531.050781 1725060067.0862
MEM 2141.429688 1725060067.1867
MEM 2789.429688 1725060067.2872
MEM 3435.429688 1725060067.3878
MEM 3795.429688 1725060067.4881
MEM 1953.375000 1725060067.5885
MEM 249.812500 1725060067.6889
MEM 789.812500 1725060067.7894
MEM 1427.812500 1725060067.8899
MEM 2067.054688 1725060067.9903
MEM 2539.054688 1725060068.0908
MEM 2987.054688 1725060068.1913
MEM 3397.054688 1725060068.2917
MEM 3795.054688 1725060068.3921
MEM 2559.433594 1725060068.4926
MEM 3211.433594 1725060068.5931
MEM 3795.433594 1725060068.6935
MEM 1953.378906 1725060068.7939
MEM 207.757812 1725060068.8944
MEM 745.812500 1725060068.9948
MEM 1367.812500 1725060069.0953
MEM 2025.054688 1725060069.1957
MEM 2499.054688 1725060069.2960
MEM 2957.054688 1725060069.3965
MEM 3355.054688 1725060069.4969
MEM 3759.054688 1725060069.5974
MEM 2423.433594 1725060069.6979
MEM 3017.433594 1725060069.7987
MEM 3403.433594 1725060069.8992
MEM 3695.433594 1725060069.9995
MEM 3795.433594 1725060070.0999
MEM 1953.378906 1725060070.2003
MEM 281.812500 1725060070.3009
MEM 799.812500 1725060070.4013
MEM 1407.812500 1725060070.5017
MEM 2073.054688 1725060070.6021
MEM 2531.054688 1725060070.7030
MEM 2963.054688 1725060070.8035
MEM 3365.054688 1725060070.9039
MEM 3765.054688 1725060071.0044
MEM 2525.433594 1725060071.1049
MEM 3177.433594 1725060071.2055
MEM 3795.433594 1725060071.3058
MEM 1953.378906 1725060071.4062
MEM 135.757812 1725060071.5067
MEM 677.812500 1725060071.6072
MEM 1285.812500 1725060071.7076
MEM 1977.054688 1725060071.8080
